2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 00:00:00 | energy=0.079 kWh | voltage=226.11V | current=1.606A | power_factor=0.87 | temperature=29.1C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 00:15:00 | energy=0.0608 kWh | voltage=230.98V | current=1.118A | power_factor=0.942 | temperature=30.5C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 00:30:00 | energy=0.0587 kWh | voltage=227.97V | current=1.178A | power_factor=0.874 | temperature=27.4C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 00:45:00 | energy=0.075 kWh | voltage=220.86V | current=1.53A | power_factor=0.888 | temperature=30.4C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 01:00:00 | energy=0.0396 kWh | voltage=228.5V | current=0.772A | power_factor=0.898 | temperature=27.0C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 01:15:00 | energy=0.0325 kWh | voltage=227.8V | current=0.622A | power_factor=0.917 | temperature=29.7C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 01:30:00 | energy=0.0388 kWh | voltage=230.43V | current=0.772A | power_factor=0.872 | temperature=27.5C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 01:45:00 | energy=0.0145 kWh | voltage=227.9V | current=0.295A | power_factor=0.863 | temperature=30.4C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 02:00:00 | energy=0.043 kWh | voltage=226.42V | current=0.831A | power_factor=0.914 | temperature=28.2C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 02:15:00 | energy=0.0131 kWh | voltage=229.2V | current=0.244A | power_factor=0.936 | temperature=29.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 02:30:00 | energy=0.0258 kWh | voltage=239.72V | current=0.493A | power_factor=0.874 | temperature=30.9C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 02:45:00 | energy=0.0561 kWh | voltage=230.77V | current=1.002A | power_factor=0.97 | temperature=30.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 03:00:00 | energy=0.0156 kWh | voltage=226.47V | current=0.311A | power_factor=0.885 | temperature=25.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 03:15:00 | energy=0.0496 kWh | voltage=225.29V | current=0.956A | power_factor=0.921 | temperature=26.7C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 03:30:00 | energy=0.018 kWh | voltage=232.04V | current=0.328A | power_factor=0.945 | temperature=30.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 03:45:00 | energy=0.047 kWh | voltage=229.27V | current=0.948A | power_factor=0.865 | temperature=27.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 04:00:00 | energy=0.0512 kWh | voltage=224.72V | current=1.062A | power_factor=0.858 | temperature=30.7C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 04:15:00 | energy=0.0258 kWh | voltage=234.13V | current=0.472A | power_factor=0.933 | temperature=26.7C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 04:30:00 | energy=0.0523 kWh | voltage=226.37V | current=0.98A | power_factor=0.943 | temperature=28.3C
2026-03-31 18:13:53 | meter=M001 | timestamp=2026-02-28 04:45:00 | energy=0.0465 kWh | voltage=235.23V | current=0.865A | power_factor=0.914 | temperature=29.2C
